file,line,type,commit,author,date,time,timezone,datetime,depth,length
src\style.css,3,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,32
src\style.css,4,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,33
src\style.css,5,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,48
src\style.css,6,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,7,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,8,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,4
src\style.css,9,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,24
src\style.css,10,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,11,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,5
src\style.css,12,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,41
src\style.css,13,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,29
src\style.css,14,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,32
src\style.css,15,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,25
src\style.css,16,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,17,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,18,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,6
src\style.css,19,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,7
src\style.css,20,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,32
src\style.css,21,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,22,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,23,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,4
src\style.css,24,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,40
src\style.css,25,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,0
src\style.css,26,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,33
src\style.css,27,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,38
src\style.css,28,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,43
src\style.css,29,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,45
src\style.css,30,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,0
src\style.css,31,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,40
src\style.css,32,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,33,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,34,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,6
src\style.css,35,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,26
src\style.css,36,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,40
src\style.css,37,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,34
src\style.css,38,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,38
src\style.css,39,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,34
src\style.css,40,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,41,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,42,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,14
src\style.css,43,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,43
src\style.css,44,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,43
src\style.css,45,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,40
src\style.css,46,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,38
src\style.css,47,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,35
src\style.css,48,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,49,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,50,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,12
src\style.css,51,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,49
src\style.css,52,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,49
src\style.css,53,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,63
